epoch,accuracy,loss
1,0.9739,0.09188405726887998
2,0.9683,0.10318526583441955
3,0.9832,0.051406946930452994
4,0.9854,0.048684240210946694
5,0.9858,0.039602598185602064
6,0.9894,0.03297934802504891
7,0.9908,0.029154826554667744
8,0.9905,0.02886637217575791
9,0.9897,0.03363839162522512
10,0.992,0.024127066494662695
11,0.991,0.025492327166326375
12,0.9923,0.025175492750454078
13,0.9916,0.024928868763772757
14,0.9922,0.022581005833735675
15,0.9917,0.02349275510312706
16,0.9921,0.02194696004176401
17,0.993,0.021162167640089075
18,0.993,0.02106739800742877
19,0.9922,0.02447437011702787
20,0.9935,0.019761344928405273
21,0.9933,0.021338577166652554
22,0.9932,0.02034847836010529
23,0.9933,0.02054906283247312
24,0.9923,0.021611173564683464
25,0.9932,0.01989996118989983
26,0.9935,0.020569013255006176
27,0.9915,0.02539691976310035
28,0.9935,0.020494417814962577
29,0.9938,0.019129960303222674
30,0.9928,0.02273713878002457
31,0.9943,0.017760990975704286
32,0.9929,0.022659842268266096
33,0.9941,0.018448793004933295
34,0.9939,0.018704278665615102
35,0.9936,0.01863059241717982
36,0.9937,0.01844257513108274
37,0.9909,0.025805717125488854
38,0.9939,0.018247447192381142
39,0.9938,0.01961519992945431
40,0.994,0.01860160615936823
41,0.9941,0.017861681181008403
42,0.9934,0.019225802038702215
43,0.9933,0.020532122428170867
44,0.9934,0.02082644490334005
45,0.9937,0.01948308714084126
46,0.9933,0.020636688316936803
47,0.9941,0.0196350554260036
48,0.9933,0.019709137575359442
49,0.9936,0.018814047200675112
50,0.9938,0.02003829136713642
